agriculture,industry,services,gdp_log,year,country,unemployment_rate,target
15.2084715436747,22.2879915676986,62.5035368886268,23.572338664149648,2003,Costa Rica,6.654,6.654
51.0560741481718,22.3778885601175,26.5660428763685,28.1472016880234,2010,India,7.652,7.652
84.567910478782,2.43888579656969,12.9931897287354,21.842218573860187,1995,Mozambique,2.76,2.76
61.693829776684,14.8394614527414,23.4667348680382,23.20244546615477,2012,South Sudan,12.896,12.896
13.7923891948361,39.2074441977855,47.0001666073785,22.00587906978495,1994,Mauritius,9.524,9.524
0.775738600406355,10.3640542250941,88.8602071744995,25.02287211386537,2020,Luxembourg,6.766,6.766
53.1009177239171,13.8901363623673,33.0089459137156,23.353636159966634,2021,Armenia,15.469,15.469
6.77905526459039,31.4547252625293,61.7662194728803,24.77819874659231,2011,Bulgaria,11.26,11.26
62.6416037421501,8.45562135746309,28.9027749003868,24.101066138733703,2012,"Congo, Dem. Rep.",4.485,4.485
42.9684218795795,15.4835824593527,41.5479956610678,21.44166528211445,2003,Mauritania,9.921,9.921
85.4136945955063,4.16266715393528,10.4236382505584,21.811278847401745,2000,Burkina Faso,2.679,2.679
23.5132202431056,32.1132930527649,44.3734999954145,25.431025420185463,1994,Poland,14.825,14.825
2.1072997716391,22.4208042568487,75.4719059369522,29.990168850881364,2001,United States,4.731,4.731
70.4619093619478,6.81133933164259,22.7267434386051,24.207958337030842,2014,Uganda,2.348,2.348
78.6706460200346,8.50197473062215,12.8273792493433,22.17672895583693,1999,Madagascar,5.823,5.823
36.4168555932713,20.1506663577038,43.4324780490249,23.469581911836414,2019,Albania,11.466,11.466
29.5859980014212,18.5147298745226,51.8992721240562,22.666940312159138,1991,Paraguay,5.1,5.1
53.0617570040041,15.6343287059328,31.3039142900632,22.577131507167433,2006,Armenia,10.465,10.465
39.0564987058819,16.5628059149572,44.380695379161,22.37316161901774,2008,Mauritania,9.735,9.735
32.2569149599298,19.4980817587132,48.245003281357,24.627134273834812,2012,Guatemala,2.765,2.765
38.2497955358821,12.6510607063483,49.0991420808033,26.726286171148878,2016,Nigeria,4.499,4.499
4.19778907991846,22.9748631148803,72.8273531196319,27.987288331999938,2010,Spain,19.86,19.86
22.6906491203341,24.7802972120285,52.5290536676375,24.59837134009176,1998,Algeria,26.853,26.853
20.2498698923397,19.1127573746454,60.6373727330149,24.476148577602622,2005,Cuba,1.95,1.95
2.12237163463669,21.3243069004555,76.5533214649078,26.966687855108095,2008,Sweden,6.235,6.235
67.4327457926109,6.71866330929111,25.8489465522883,20.29545608326065,2003,Bhutan,1.8,1.8
66.667256288439,5.79539240065979,27.5374004460489,22.013312922721738,2007,Sierra Leone,4.007,4.007
1.21505476559999,34.8388639227811,63.946013774808,24.540234259446997,1991,Singapore,2.18,2.18
4.25860508370897,24.3944219600337,71.3469729562574,26.477344058447073,2008,United Arab Emirates,2.821,2.821
58.4513301062187,5.64313634128032,35.90531783628,20.684421731387964,2004,"Gambia, The",9.991,9.991
0.503075093487674,17.3045483464829,82.1921081101396,24.531500616464722,2016,"Macao SAR, China",1.939,1.939
9.06899794965241,25.0726747395117,65.8584009055089,24.44994564064307,2015,Lithuania,9.12,9.12
6.19401426347489,27.6662065227617,66.1398383835754,24.841775753997283,2019,Croatia,6.617,6.617
73.1414422233638,7.09965317375533,19.7589179598186,22.993727237705638,2015,Niger,0.553,0.553
7.01429670730226,26.2556397067758,66.730063585922,23.43145849271311,1993,Uruguay,8.35,8.35
73.2785170614109,5.22554166503767,21.4959412735514,22.204001522150584,1991,Guinea,4.573,4.573
